ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS31846,31846.TXT,0.26961,0.13779,0.18237,3

ROUGE-1+StopWordRemoval,FNS31846,31846.TXT,0.36647,0.18175,0.24299,3

ROUGE-2+StopWordRemoval,FNS31846,31846.TXT,0.17888,0.06442,0.09472,3

ROUGE-SU4+StopWordRemoval,FNS31846,31846.TXT,0.25862,0.08530,0.12828,3

ROUGE-L+StopWordRemoval,FNS32936,32936.TXT,0.25477,0.18648,0.21534,4

ROUGE-1+StopWordRemoval,FNS32936,32936.TXT,0.36981,0.23138,0.28466,4

ROUGE-2+StopWordRemoval,FNS32936,32936.TXT,0.21657,0.10351,0.14008,4

ROUGE-SU4+StopWordRemoval,FNS32936,32936.TXT,0.27772,0.12407,0.17151,4

ROUGE-L+StopWordRemoval,FNS31969,31969.TXT,0.26228,0.17317,0.20861,3

ROUGE-1+StopWordRemoval,FNS31969,31969.TXT,0.31921,0.16479,0.21737,3

ROUGE-2+StopWordRemoval,FNS31969,31969.TXT,0.11019,0.05806,0.07605,3

ROUGE-SU4+StopWordRemoval,FNS31969,31969.TXT,0.17811,0.08068,0.11106,3

ROUGE-L+StopWordRemoval,FNS31608,31608.TXT,0.31280,0.17775,0.22669,4

ROUGE-1+StopWordRemoval,FNS31608,31608.TXT,0.22415,0.20630,0.21485,4

ROUGE-2+StopWordRemoval,FNS31608,31608.TXT,0.07138,0.04881,0.05798,4

ROUGE-SU4+StopWordRemoval,FNS31608,31608.TXT,0.12898,0.09192,0.10734,4

ROUGE-L+StopWordRemoval,FNS32939,32939.TXT,0.32291,0.15135,0.20610,3

ROUGE-1+StopWordRemoval,FNS32939,32939.TXT,0.29303,0.20546,0.24155,3

ROUGE-2+StopWordRemoval,FNS32939,32939.TXT,0.12301,0.05714,0.07804,3

ROUGE-SU4+StopWordRemoval,FNS32939,32939.TXT,0.19297,0.08091,0.11402,3

ROUGE-L+StopWordRemoval,FNS31970,31970.TXT,0.30111,0.25257,0.27471,3

ROUGE-1+StopWordRemoval,FNS31970,31970.TXT,0.28651,0.32588,0.30493,3

ROUGE-2+StopWordRemoval,FNS31970,31970.TXT,0.13836,0.12880,0.13341,3

ROUGE-SU4+StopWordRemoval,FNS31970,31970.TXT,0.21241,0.18381,0.19708,3

ROUGE-L+StopWordRemoval,FNS32025,32025.TXT,0.33186,0.18627,0.23861,4

ROUGE-1+StopWordRemoval,FNS32025,32025.TXT,0.45461,0.21124,0.28845,4

ROUGE-2+StopWordRemoval,FNS32025,32025.TXT,0.22957,0.08888,0.12815,4

ROUGE-SU4+StopWordRemoval,FNS32025,32025.TXT,0.32060,0.11113,0.16505,4

ROUGE-L+StopWordRemoval,FNS31058,31058.TXT,0.43064,0.29805,0.35229,4

ROUGE-1+StopWordRemoval,FNS31058,31058.TXT,0.42946,0.34725,0.38401,4

ROUGE-2+StopWordRemoval,FNS31058,31058.TXT,0.27396,0.13993,0.18524,4

ROUGE-SU4+StopWordRemoval,FNS31058,31058.TXT,0.32953,0.19501,0.24502,4

ROUGE-L+StopWordRemoval,FNS31850,31850.TXT,0.18225,0.12391,0.14752,4

ROUGE-1+StopWordRemoval,FNS31850,31850.TXT,0.29227,0.16170,0.20821,4

ROUGE-2+StopWordRemoval,FNS31850,31850.TXT,0.11564,0.04249,0.06215,4

ROUGE-SU4+StopWordRemoval,FNS31850,31850.TXT,0.17820,0.06162,0.09158,4

ROUGE-L+StopWordRemoval,FNS32389,32389.TXT,0.24105,0.17384,0.20200,3

ROUGE-1+StopWordRemoval,FNS32389,32389.TXT,0.28297,0.15565,0.20083,3

ROUGE-2+StopWordRemoval,FNS32389,32389.TXT,0.08381,0.03766,0.05197,3

ROUGE-SU4+StopWordRemoval,FNS32389,32389.TXT,0.16787,0.05885,0.08715,3

ROUGE-L+StopWordRemoval,FNS31059,31059.TXT,0.31316,0.13786,0.19144,4

ROUGE-1+StopWordRemoval,FNS31059,31059.TXT,0.37125,0.14573,0.20930,4

ROUGE-2+StopWordRemoval,FNS31059,31059.TXT,0.16641,0.04814,0.07468,4

ROUGE-SU4+StopWordRemoval,FNS31059,31059.TXT,0.24356,0.06340,0.10060,4

ROUGE-L+StopWordRemoval,FNS31851,31851.TXT,0.46983,0.17121,0.25097,4

ROUGE-1+StopWordRemoval,FNS31851,31851.TXT,0.47839,0.16181,0.24182,4

ROUGE-2+StopWordRemoval,FNS31851,31851.TXT,0.32835,0.06499,0.10851,4

ROUGE-SU4+StopWordRemoval,FNS31851,31851.TXT,0.35896,0.08885,0.14245,4

ROUGE-L+StopWordRemoval,FNS32148,32148.TXT,0.16150,0.19740,0.17765,3

ROUGE-1+StopWordRemoval,FNS32148,32148.TXT,0.19506,0.25568,0.22129,3

ROUGE-2+StopWordRemoval,FNS32148,32148.TXT,0.08221,0.08205,0.08213,3

ROUGE-SU4+StopWordRemoval,FNS32148,32148.TXT,0.13071,0.11049,0.11975,3

ROUGE-L+StopWordRemoval,FNS31610,31610.TXT,0.23509,0.24566,0.24026,3

ROUGE-1+StopWordRemoval,FNS31610,31610.TXT,0.23658,0.32430,0.27358,3

ROUGE-2+StopWordRemoval,FNS31610,31610.TXT,0.08981,0.10409,0.09643,3

ROUGE-SU4+StopWordRemoval,FNS31610,31610.TXT,0.14771,0.15251,0.15007,3

ROUGE-L+StopWordRemoval,FNS32149,32149.TXT,0.24077,0.19011,0.21246,4

ROUGE-1+StopWordRemoval,FNS32149,32149.TXT,0.22248,0.26364,0.24132,4

ROUGE-2+StopWordRemoval,FNS32149,32149.TXT,0.08413,0.07933,0.08166,4

ROUGE-SU4+StopWordRemoval,FNS32149,32149.TXT,0.13244,0.12073,0.12631,4

ROUGE-L+StopWordRemoval,FNS31854,31854.TXT,0.29755,0.18472,0.22793,3

ROUGE-1+StopWordRemoval,FNS31854,31854.TXT,0.33752,0.26462,0.29665,3

ROUGE-2+StopWordRemoval,FNS31854,31854.TXT,0.12693,0.07614,0.09519,3

ROUGE-SU4+StopWordRemoval,FNS31854,31854.TXT,0.19437,0.10276,0.13444,3

ROUGE-L+StopWordRemoval,FNS31855,31855.TXT,0.28360,0.14881,0.19520,3

ROUGE-1+StopWordRemoval,FNS31855,31855.TXT,0.32390,0.19811,0.24585,3

ROUGE-2+StopWordRemoval,FNS31855,31855.TXT,0.11457,0.06581,0.08360,3

ROUGE-SU4+StopWordRemoval,FNS31855,31855.TXT,0.18334,0.09493,0.12509,3

ROUGE-L+StopWordRemoval,FNS30887,30887.TXT,0.27481,0.21490,0.24119,5

ROUGE-1+StopWordRemoval,FNS30887,30887.TXT,0.25642,0.27489,0.26533,5

ROUGE-2+StopWordRemoval,FNS30887,30887.TXT,0.07278,0.05931,0.06536,5

ROUGE-SU4+StopWordRemoval,FNS30887,30887.TXT,0.15360,0.11538,0.13177,5

ROUGE-L+StopWordRemoval,FNS31290,31290.TXT,0.22205,0.12418,0.15928,3

ROUGE-1+StopWordRemoval,FNS31290,31290.TXT,0.32798,0.15378,0.20938,3

ROUGE-2+StopWordRemoval,FNS31290,31290.TXT,0.12299,0.04717,0.06819,3

ROUGE-SU4+StopWordRemoval,FNS31290,31290.TXT,0.21533,0.07098,0.10676,3

ROUGE-L+StopWordRemoval,FNS30886,30886.TXT,0.22020,0.18696,0.20222,4

ROUGE-1+StopWordRemoval,FNS30886,30886.TXT,0.25879,0.20173,0.22673,4

ROUGE-2+StopWordRemoval,FNS30886,30886.TXT,0.04543,0.02662,0.03357,4

ROUGE-SU4+StopWordRemoval,FNS30886,30886.TXT,0.12773,0.06565,0.08672,4

ROUGE-L+StopWordRemoval,FNS32380,32380.TXT,0.20439,0.21813,0.21103,3

ROUGE-1+StopWordRemoval,FNS32380,32380.TXT,0.20285,0.25516,0.22602,3

ROUGE-2+StopWordRemoval,FNS32380,32380.TXT,0.05100,0.04292,0.04661,3

ROUGE-SU4+StopWordRemoval,FNS32380,32380.TXT,0.09888,0.09174,0.09518,3

ROUGE-L+StopWordRemoval,FNS31050,31050.TXT,0.24095,0.18347,0.20832,3

ROUGE-1+StopWordRemoval,FNS31050,31050.TXT,0.27631,0.21953,0.24467,3

ROUGE-2+StopWordRemoval,FNS31050,31050.TXT,0.08994,0.06250,0.07375,3

ROUGE-SU4+StopWordRemoval,FNS31050,31050.TXT,0.19330,0.11658,0.14545,3

