ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS31022,31022.TXT,0.28255,0.28927,0.28587,3

ROUGE-1+StopWordRemoval,FNS31022,31022.TXT,0.24986,0.36434,0.29643,3

ROUGE-2+StopWordRemoval,FNS31022,31022.TXT,0.08604,0.11483,0.09837,3

ROUGE-SU4+StopWordRemoval,FNS31022,31022.TXT,0.13182,0.17632,0.15086,3

ROUGE-L+StopWordRemoval,FNS30858,30858.TXT,0.32827,0.22961,0.27022,4

ROUGE-1+StopWordRemoval,FNS30858,30858.TXT,0.27462,0.26403,0.26922,4

ROUGE-2+StopWordRemoval,FNS30858,30858.TXT,0.08225,0.07790,0.08002,4

ROUGE-SU4+StopWordRemoval,FNS30858,30858.TXT,0.15538,0.11841,0.13440,4

ROUGE-L+StopWordRemoval,FNS30856,30856.TXT,0.25442,0.19672,0.22188,3

ROUGE-1+StopWordRemoval,FNS30856,30856.TXT,0.26667,0.08790,0.13222,3

ROUGE-2+StopWordRemoval,FNS30856,30856.TXT,0.10145,0.02441,0.03935,3

ROUGE-SU4+StopWordRemoval,FNS30856,30856.TXT,0.15147,0.03585,0.05797,3

ROUGE-L+StopWordRemoval,FNS30855,30855.TXT,0.23404,0.23302,0.23353,3

ROUGE-1+StopWordRemoval,FNS30855,30855.TXT,0.21513,0.31623,0.25606,3

ROUGE-2+StopWordRemoval,FNS30855,30855.TXT,0.06414,0.08348,0.07254,3

ROUGE-SU4+StopWordRemoval,FNS30855,30855.TXT,0.11157,0.13125,0.12062,3

ROUGE-L+StopWordRemoval,FNS31824,31824.TXT,0.32591,0.16816,0.22185,3

ROUGE-1+StopWordRemoval,FNS31824,31824.TXT,0.34111,0.17890,0.23471,3

ROUGE-2+StopWordRemoval,FNS31824,31824.TXT,0.09221,0.04386,0.05945,3

ROUGE-SU4+StopWordRemoval,FNS31824,31824.TXT,0.18127,0.08674,0.11733,3

ROUGE-L+StopWordRemoval,FNS31705,31705.TXT,0.37504,0.15000,0.21429,4

ROUGE-1+StopWordRemoval,FNS31705,31705.TXT,0.48617,0.09562,0.15981,4

ROUGE-2+StopWordRemoval,FNS31705,31705.TXT,0.25832,0.03838,0.06682,4

ROUGE-SU4+StopWordRemoval,FNS31705,31705.TXT,0.37835,0.05377,0.09416,4

ROUGE-L+StopWordRemoval,FNS31948,31948.TXT,0.24814,0.21864,0.23246,3

ROUGE-1+StopWordRemoval,FNS31948,31948.TXT,0.25771,0.25105,0.25434,3

ROUGE-2+StopWordRemoval,FNS31948,31948.TXT,0.08355,0.05691,0.06770,3

ROUGE-SU4+StopWordRemoval,FNS31948,31948.TXT,0.14619,0.10241,0.12045,3

ROUGE-L+StopWordRemoval,FNS31828,31828.TXT,0.30159,0.18365,0.22829,3

ROUGE-1+StopWordRemoval,FNS31828,31828.TXT,0.33726,0.21784,0.26471,3

ROUGE-2+StopWordRemoval,FNS31828,31828.TXT,0.12418,0.06689,0.08694,3

ROUGE-SU4+StopWordRemoval,FNS31828,31828.TXT,0.19946,0.09873,0.13208,3

ROUGE-L+StopWordRemoval,FNS31034,31034.TXT,0.23510,0.23012,0.23258,3

ROUGE-1+StopWordRemoval,FNS31034,31034.TXT,0.17972,0.22222,0.19872,3

ROUGE-2+StopWordRemoval,FNS31034,31034.TXT,0.06418,0.06667,0.06540,3

ROUGE-SU4+StopWordRemoval,FNS31034,31034.TXT,0.10099,0.09864,0.09980,3

ROUGE-L+StopWordRemoval,FNS31277,31277.TXT,0.24971,0.25380,0.25174,3

ROUGE-1+StopWordRemoval,FNS31277,31277.TXT,0.25847,0.26929,0.26377,3

ROUGE-2+StopWordRemoval,FNS31277,31277.TXT,0.09003,0.07434,0.08144,3

ROUGE-SU4+StopWordRemoval,FNS31277,31277.TXT,0.15732,0.11111,0.13024,3

ROUGE-L+StopWordRemoval,FNS31036,31036.TXT,0.29031,0.20448,0.23995,3

ROUGE-1+StopWordRemoval,FNS31036,31036.TXT,0.35779,0.20248,0.25861,3

ROUGE-2+StopWordRemoval,FNS31036,31036.TXT,0.14486,0.06411,0.08889,3

ROUGE-SU4+StopWordRemoval,FNS31036,31036.TXT,0.25083,0.09705,0.13995,3

ROUGE-L+StopWordRemoval,FNS31399,31399.TXT,0.41366,0.21801,0.28554,3

ROUGE-1+StopWordRemoval,FNS31399,31399.TXT,0.43797,0.26847,0.33288,3

ROUGE-2+StopWordRemoval,FNS31399,31399.TXT,0.35569,0.10054,0.15677,3

ROUGE-SU4+StopWordRemoval,FNS31399,31399.TXT,0.39076,0.13900,0.20506,3

ROUGE-L+StopWordRemoval,FNS32004,32004.TXT,0.47030,0.22844,0.30751,4

ROUGE-1+StopWordRemoval,FNS32004,32004.TXT,0.58620,0.34735,0.43622,4

ROUGE-2+StopWordRemoval,FNS32004,32004.TXT,0.34722,0.18619,0.24240,4

ROUGE-SU4+StopWordRemoval,FNS32004,32004.TXT,0.42234,0.22062,0.28984,4

ROUGE-L+StopWordRemoval,FNS30982,30982.TXT,0.28003,0.19071,0.22690,3

ROUGE-1+StopWordRemoval,FNS30982,30982.TXT,0.34856,0.20163,0.25548,3

ROUGE-2+StopWordRemoval,FNS30982,30982.TXT,0.16008,0.08903,0.11442,3

ROUGE-SU4+StopWordRemoval,FNS30982,30982.TXT,0.22608,0.11974,0.15656,3

ROUGE-L+StopWordRemoval,FNS31037,31037.TXT,0.34510,0.18326,0.23940,4

ROUGE-1+StopWordRemoval,FNS31037,31037.TXT,0.42505,0.13513,0.20507,4

ROUGE-2+StopWordRemoval,FNS31037,31037.TXT,0.25373,0.08431,0.12656,4

ROUGE-SU4+StopWordRemoval,FNS31037,31037.TXT,0.32237,0.10901,0.16292,4

ROUGE-L+StopWordRemoval,FNS31950,31950.TXT,0.24396,0.14888,0.18492,5

ROUGE-1+StopWordRemoval,FNS31950,31950.TXT,0.26911,0.12830,0.17376,5

ROUGE-2+StopWordRemoval,FNS31950,31950.TXT,0.09181,0.03471,0.05038,5

ROUGE-SU4+StopWordRemoval,FNS31950,31950.TXT,0.15318,0.05726,0.08336,5

ROUGE-L+StopWordRemoval,FNS31038,31038.TXT,0.31802,0.16860,0.22037,4

ROUGE-1+StopWordRemoval,FNS31038,31038.TXT,0.43161,0.19183,0.26560,4

ROUGE-2+StopWordRemoval,FNS31038,31038.TXT,0.18929,0.07194,0.10426,4

ROUGE-SU4+StopWordRemoval,FNS31038,31038.TXT,0.24712,0.09553,0.13780,4

ROUGE-L+StopWordRemoval,FNS32248,32248.TXT,0.54074,0.19751,0.28934,3

ROUGE-1+StopWordRemoval,FNS32248,32248.TXT,0.87989,0.27562,0.41975,3

ROUGE-2+StopWordRemoval,FNS32248,32248.TXT,0.66937,0.19897,0.30676,3

ROUGE-SU4+StopWordRemoval,FNS32248,32248.TXT,0.74978,0.22439,0.34541,3

ROUGE-L+StopWordRemoval,FNS31831,31831.TXT,0.29045,0.21523,0.24725,4

ROUGE-1+StopWordRemoval,FNS31831,31831.TXT,0.32510,0.30303,0.31368,4

ROUGE-2+StopWordRemoval,FNS31831,31831.TXT,0.14872,0.11588,0.13026,4

ROUGE-SU4+StopWordRemoval,FNS31831,31831.TXT,0.20499,0.16083,0.18024,4

ROUGE-L+StopWordRemoval,FNS32129,32129.TXT,0.34021,0.20437,0.25535,4

ROUGE-1+StopWordRemoval,FNS32129,32129.TXT,0.30614,0.27586,0.29021,4

ROUGE-2+StopWordRemoval,FNS32129,32129.TXT,0.13020,0.09380,0.10904,4

ROUGE-SU4+StopWordRemoval,FNS32129,32129.TXT,0.19821,0.14353,0.16650,4

ROUGE-L+StopWordRemoval,FNS32480,32480.TXT,0.28802,0.13703,0.18571,4

ROUGE-1+StopWordRemoval,FNS32480,32480.TXT,0.36252,0.16794,0.22954,4

ROUGE-2+StopWordRemoval,FNS32480,32480.TXT,0.13078,0.04448,0.06638,4

ROUGE-SU4+StopWordRemoval,FNS32480,32480.TXT,0.22900,0.07812,0.11650,4

ROUGE-L+StopWordRemoval,FNS31271,31271.TXT,0.35075,0.18740,0.24429,3

ROUGE-1+StopWordRemoval,FNS31271,31271.TXT,0.43651,0.20980,0.28340,3

ROUGE-2+StopWordRemoval,FNS31271,31271.TXT,0.15347,0.07751,0.10300,3

ROUGE-SU4+StopWordRemoval,FNS31271,31271.TXT,0.25224,0.11097,0.15413,3

ROUGE-L+StopWordRemoval,FNS32482,32482.TXT,0.35176,0.16997,0.22919,3

ROUGE-1+StopWordRemoval,FNS32482,32482.TXT,0.39830,0.10028,0.16022,3

ROUGE-2+StopWordRemoval,FNS32482,32482.TXT,0.10677,0.02760,0.04386,3

ROUGE-SU4+StopWordRemoval,FNS32482,32482.TXT,0.17888,0.04730,0.07482,3

ROUGE-L+StopWordRemoval,FNS31031,31031.TXT,0.24134,0.17933,0.20576,5

ROUGE-1+StopWordRemoval,FNS31031,31031.TXT,0.33496,0.23619,0.27704,5

ROUGE-2+StopWordRemoval,FNS31031,31031.TXT,0.19244,0.12980,0.15503,5

ROUGE-SU4+StopWordRemoval,FNS31031,31031.TXT,0.26515,0.16208,0.20118,5

ROUGE-L+StopWordRemoval,FNS31274,31274.TXT,0.22919,0.19360,0.20990,3

ROUGE-1+StopWordRemoval,FNS31274,31274.TXT,0.24387,0.18543,0.21067,3

ROUGE-2+StopWordRemoval,FNS31274,31274.TXT,0.06916,0.04800,0.05667,3

ROUGE-SU4+StopWordRemoval,FNS31274,31274.TXT,0.10801,0.08046,0.09222,3

ROUGE-L+StopWordRemoval,FNS31033,31033.TXT,0.23169,0.22798,0.22982,3

ROUGE-1+StopWordRemoval,FNS31033,31033.TXT,0.19592,0.25629,0.22208,3

ROUGE-2+StopWordRemoval,FNS31033,31033.TXT,0.06135,0.04880,0.05436,3

ROUGE-SU4+StopWordRemoval,FNS31033,31033.TXT,0.12869,0.09586,0.10988,3

ROUGE-L+StopWordRemoval,FNS30866,30866.TXT,0.29159,0.20507,0.24080,4

ROUGE-1+StopWordRemoval,FNS30866,30866.TXT,0.24138,0.25127,0.24622,4

ROUGE-2+StopWordRemoval,FNS30866,30866.TXT,0.05204,0.04931,0.05064,4

ROUGE-SU4+StopWordRemoval,FNS30866,30866.TXT,0.12042,0.09833,0.10826,4

ROUGE-L+StopWordRemoval,FNS31834,31834.TXT,0.30224,0.12156,0.17339,3

ROUGE-1+StopWordRemoval,FNS31834,31834.TXT,0.37458,0.07601,0.12637,3

ROUGE-2+StopWordRemoval,FNS31834,31834.TXT,0.12515,0.02003,0.03453,3

ROUGE-SU4+StopWordRemoval,FNS31834,31834.TXT,0.23046,0.03301,0.05774,3

ROUGE-L+StopWordRemoval,FNS31955,31955.TXT,0.41610,0.19161,0.26239,3

ROUGE-1+StopWordRemoval,FNS31955,31955.TXT,0.52300,0.17703,0.26452,3

ROUGE-2+StopWordRemoval,FNS31955,31955.TXT,0.16243,0.04633,0.07210,3

ROUGE-SU4+StopWordRemoval,FNS31955,31955.TXT,0.30963,0.07685,0.12314,3

ROUGE-L+StopWordRemoval,FNS32926,32926.TXT,0.30066,0.15256,0.20241,3

ROUGE-1+StopWordRemoval,FNS32926,32926.TXT,0.32582,0.17231,0.22541,3

ROUGE-2+StopWordRemoval,FNS32926,32926.TXT,0.17354,0.04940,0.07691,3

ROUGE-SU4+StopWordRemoval,FNS32926,32926.TXT,0.24852,0.07394,0.11398,3

ROUGE-L+StopWordRemoval,FNS31959,31959.TXT,0.31691,0.16309,0.21535,4

ROUGE-1+StopWordRemoval,FNS31959,31959.TXT,0.38567,0.14289,0.20852,4

ROUGE-2+StopWordRemoval,FNS31959,31959.TXT,0.13547,0.04021,0.06201,4

ROUGE-SU4+StopWordRemoval,FNS31959,31959.TXT,0.22848,0.05749,0.09187,4

ROUGE-L+StopWordRemoval,FNS31839,31839.TXT,0.24199,0.21564,0.22806,3

ROUGE-1+StopWordRemoval,FNS31839,31839.TXT,0.27025,0.27897,0.27454,3

ROUGE-2+StopWordRemoval,FNS31839,31839.TXT,0.11103,0.10010,0.10528,3

ROUGE-SU4+StopWordRemoval,FNS31839,31839.TXT,0.18453,0.15874,0.17067,3

ROUGE-L+StopWordRemoval,FNS32809,32809.TXT,0.33015,0.32633,0.32823,3

ROUGE-1+StopWordRemoval,FNS32809,32809.TXT,0.35879,0.37214,0.36534,3

ROUGE-2+StopWordRemoval,FNS32809,32809.TXT,0.13399,0.13537,0.13468,3

ROUGE-SU4+StopWordRemoval,FNS32809,32809.TXT,0.22179,0.17546,0.19593,3

ROUGE-L+StopWordRemoval,FNS32333,32333.TXT,0.31448,0.09207,0.14244,3

ROUGE-1+StopWordRemoval,FNS32333,32333.TXT,0.46521,0.13650,0.21107,3

ROUGE-2+StopWordRemoval,FNS32333,32333.TXT,0.28823,0.07025,0.11296,3

ROUGE-SU4+StopWordRemoval,FNS32333,32333.TXT,0.33535,0.07510,0.12271,3

ROUGE-L+StopWordRemoval,FNS30950,30950.TXT,0.36297,0.20471,0.26178,3

ROUGE-1+StopWordRemoval,FNS30950,30950.TXT,0.44465,0.24067,0.31230,3

ROUGE-2+StopWordRemoval,FNS30950,30950.TXT,0.18123,0.08926,0.11961,3

ROUGE-SU4+StopWordRemoval,FNS30950,30950.TXT,0.24444,0.13063,0.17027,3

ROUGE-L+StopWordRemoval,FNS31005,31005.TXT,0.30949,0.20556,0.24704,5

ROUGE-1+StopWordRemoval,FNS31005,31005.TXT,0.39497,0.18367,0.25074,5

ROUGE-2+StopWordRemoval,FNS31005,31005.TXT,0.16846,0.07119,0.10008,5

ROUGE-SU4+StopWordRemoval,FNS31005,31005.TXT,0.23853,0.09111,0.13186,5

ROUGE-L+StopWordRemoval,FNS31127,31127.TXT,0.30639,0.16447,0.21405,3

ROUGE-1+StopWordRemoval,FNS31127,31127.TXT,0.35182,0.16779,0.22721,3

ROUGE-2+StopWordRemoval,FNS31127,31127.TXT,0.09758,0.04436,0.06099,3

ROUGE-SU4+StopWordRemoval,FNS31127,31127.TXT,0.18427,0.06252,0.09337,3

ROUGE-L+StopWordRemoval,FNS30952,30952.TXT,0.23611,0.14986,0.18334,4

ROUGE-1+StopWordRemoval,FNS30952,30952.TXT,0.24538,0.19060,0.21455,4

ROUGE-2+StopWordRemoval,FNS30952,30952.TXT,0.10357,0.06622,0.08079,4

ROUGE-SU4+StopWordRemoval,FNS30952,30952.TXT,0.15443,0.09243,0.11564,4

ROUGE-L+StopWordRemoval,FNS31007,31007.TXT,0.26626,0.22472,0.24373,3

ROUGE-1+StopWordRemoval,FNS31007,31007.TXT,0.26298,0.27342,0.26810,3

ROUGE-2+StopWordRemoval,FNS31007,31007.TXT,0.09498,0.08027,0.08701,3

ROUGE-SU4+StopWordRemoval,FNS31007,31007.TXT,0.15236,0.12789,0.13906,3

ROUGE-L+StopWordRemoval,FNS32217,32217.TXT,0.36929,0.11195,0.17182,4

ROUGE-1+StopWordRemoval,FNS32217,32217.TXT,0.48731,0.05240,0.09463,4

ROUGE-2+StopWordRemoval,FNS32217,32217.TXT,0.24307,0.01973,0.03650,4

ROUGE-SU4+StopWordRemoval,FNS32217,32217.TXT,0.36036,0.02437,0.04565,4

ROUGE-L+StopWordRemoval,FNS31008,31008.TXT,0.30359,0.21581,0.25228,3

ROUGE-1+StopWordRemoval,FNS31008,31008.TXT,0.36475,0.25827,0.30241,3

ROUGE-2+StopWordRemoval,FNS31008,31008.TXT,0.09338,0.06848,0.07902,3

ROUGE-SU4+StopWordRemoval,FNS31008,31008.TXT,0.18482,0.12627,0.15004,3

ROUGE-L+StopWordRemoval,FNS30830,30830.TXT,0.30620,0.16858,0.21744,4

ROUGE-1+StopWordRemoval,FNS30830,30830.TXT,0.28172,0.19113,0.22775,4

ROUGE-2+StopWordRemoval,FNS30830,30830.TXT,0.07958,0.04730,0.05933,4

ROUGE-SU4+StopWordRemoval,FNS30830,30830.TXT,0.13977,0.07881,0.10079,4

ROUGE-L+StopWordRemoval,FNS32693,32693.TXT,0.26440,0.15249,0.19342,5

ROUGE-1+StopWordRemoval,FNS32693,32693.TXT,0.33504,0.19897,0.24967,5

ROUGE-2+StopWordRemoval,FNS32693,32693.TXT,0.12229,0.05546,0.07632,5

ROUGE-SU4+StopWordRemoval,FNS32693,32693.TXT,0.21890,0.09525,0.13274,5

ROUGE-L+StopWordRemoval,FNS31242,31242.TXT,0.36005,0.22086,0.27378,3

ROUGE-1+StopWordRemoval,FNS31242,31242.TXT,0.49247,0.25972,0.34008,3

ROUGE-2+StopWordRemoval,FNS31242,31242.TXT,0.25254,0.13340,0.17458,3

ROUGE-SU4+StopWordRemoval,FNS31242,31242.TXT,0.36833,0.18159,0.24326,3

ROUGE-L+StopWordRemoval,FNS31363,31363.TXT,0.23560,0.21882,0.22690,3

ROUGE-1+StopWordRemoval,FNS31363,31363.TXT,0.31489,0.30464,0.30968,3

ROUGE-2+StopWordRemoval,FNS31363,31363.TXT,0.15843,0.12750,0.14129,3

ROUGE-SU4+StopWordRemoval,FNS31363,31363.TXT,0.21433,0.17320,0.19158,3

ROUGE-L+StopWordRemoval,FNS31484,31484.TXT,0.42810,0.17340,0.24682,4

ROUGE-1+StopWordRemoval,FNS31484,31484.TXT,0.49674,0.23797,0.32179,4

ROUGE-2+StopWordRemoval,FNS31484,31484.TXT,0.25015,0.06813,0.10709,4

ROUGE-SU4+StopWordRemoval,FNS31484,31484.TXT,0.33994,0.09947,0.15391,4

ROUGE-L+StopWordRemoval,FNS32452,32452.TXT,0.28397,0.20998,0.24143,4

ROUGE-1+StopWordRemoval,FNS32452,32452.TXT,0.33624,0.18734,0.24062,4

ROUGE-2+StopWordRemoval,FNS32452,32452.TXT,0.14147,0.06787,0.09173,4

ROUGE-SU4+StopWordRemoval,FNS32452,32452.TXT,0.20935,0.08693,0.12285,4

ROUGE-L+StopWordRemoval,FNS30838,30838.TXT,0.20793,0.18095,0.19351,3

ROUGE-1+StopWordRemoval,FNS30838,30838.TXT,0.26788,0.22821,0.24646,3

ROUGE-2+StopWordRemoval,FNS30838,30838.TXT,0.10692,0.08347,0.09375,3

ROUGE-SU4+StopWordRemoval,FNS30838,30838.TXT,0.17146,0.11874,0.14031,3

ROUGE-L+StopWordRemoval,FNS30954,30954.TXT,0.24466,0.15271,0.18805,3

ROUGE-1+StopWordRemoval,FNS30954,30954.TXT,0.27014,0.18976,0.22292,3

ROUGE-2+StopWordRemoval,FNS30954,30954.TXT,0.08160,0.04922,0.06141,3

ROUGE-SU4+StopWordRemoval,FNS30954,30954.TXT,0.17363,0.08377,0.11302,3

ROUGE-L+StopWordRemoval,FNS31926,31926.TXT,0.26831,0.22217,0.24307,4

ROUGE-1+StopWordRemoval,FNS31926,31926.TXT,0.34400,0.27088,0.30309,4

ROUGE-2+StopWordRemoval,FNS31926,31926.TXT,0.11551,0.08071,0.09503,4

ROUGE-SU4+StopWordRemoval,FNS31926,31926.TXT,0.19786,0.12324,0.15188,4

ROUGE-L+StopWordRemoval,FNS31012,31012.TXT,0.25801,0.19155,0.21987,3

ROUGE-1+StopWordRemoval,FNS31012,31012.TXT,0.28135,0.23315,0.25499,3

ROUGE-2+StopWordRemoval,FNS31012,31012.TXT,0.12710,0.08602,0.10260,3

ROUGE-SU4+StopWordRemoval,FNS31012,31012.TXT,0.19040,0.11588,0.14408,3

ROUGE-L+StopWordRemoval,FNS31254,31254.TXT,0.32609,0.23586,0.27373,4

ROUGE-1+StopWordRemoval,FNS31254,31254.TXT,0.34424,0.30911,0.32573,4

ROUGE-2+StopWordRemoval,FNS31254,31254.TXT,0.15845,0.12518,0.13986,4

ROUGE-SU4+StopWordRemoval,FNS31254,31254.TXT,0.23380,0.18806,0.20845,4

ROUGE-L+StopWordRemoval,FNS32343,32343.TXT,0.33345,0.15392,0.21062,4

ROUGE-1+StopWordRemoval,FNS32343,32343.TXT,0.44087,0.23761,0.30879,4

ROUGE-2+StopWordRemoval,FNS32343,32343.TXT,0.24061,0.11356,0.15430,4

ROUGE-SU4+StopWordRemoval,FNS32343,32343.TXT,0.31728,0.15059,0.20424,4

ROUGE-L+StopWordRemoval,FNS31013,31013.TXT,0.28233,0.14884,0.19492,3

ROUGE-1+StopWordRemoval,FNS31013,31013.TXT,0.36390,0.20912,0.26561,3

ROUGE-2+StopWordRemoval,FNS31013,31013.TXT,0.19878,0.09023,0.12411,3

ROUGE-SU4+StopWordRemoval,FNS31013,31013.TXT,0.26113,0.11186,0.15663,3

ROUGE-L+StopWordRemoval,FNS32223,32223.TXT,0.28740,0.25000,0.26740,3

ROUGE-1+StopWordRemoval,FNS32223,32223.TXT,0.32433,0.19117,0.24055,3

ROUGE-2+StopWordRemoval,FNS32223,32223.TXT,0.12239,0.06071,0.08116,3

ROUGE-SU4+StopWordRemoval,FNS32223,32223.TXT,0.19535,0.08099,0.11451,3

ROUGE-L+StopWordRemoval,FNS31014,31014.TXT,0.33403,0.21611,0.26243,3

ROUGE-1+StopWordRemoval,FNS31014,31014.TXT,0.35418,0.25360,0.29557,3

ROUGE-2+StopWordRemoval,FNS31014,31014.TXT,0.18041,0.09897,0.12782,3

ROUGE-SU4+StopWordRemoval,FNS31014,31014.TXT,0.25564,0.13087,0.17312,3

ROUGE-L+StopWordRemoval,FNS32345,32345.TXT,0.23610,0.18421,0.20695,4

ROUGE-1+StopWordRemoval,FNS32345,32345.TXT,0.27904,0.22249,0.24758,4

ROUGE-2+StopWordRemoval,FNS32345,32345.TXT,0.10504,0.07143,0.08503,4

ROUGE-SU4+StopWordRemoval,FNS32345,32345.TXT,0.19238,0.11825,0.14647,4

ROUGE-L+StopWordRemoval,FNS30960,30960.TXT,0.25237,0.17584,0.20727,3

ROUGE-1+StopWordRemoval,FNS30960,30960.TXT,0.31864,0.21231,0.25482,3

ROUGE-2+StopWordRemoval,FNS30960,30960.TXT,0.13388,0.07281,0.09433,3

ROUGE-SU4+StopWordRemoval,FNS30960,30960.TXT,0.20682,0.09527,0.13045,3

ROUGE-L+StopWordRemoval,FNS31015,31015.TXT,0.35563,0.21830,0.27054,4

ROUGE-1+StopWordRemoval,FNS31015,31015.TXT,0.48525,0.23559,0.31718,4

ROUGE-2+StopWordRemoval,FNS31015,31015.TXT,0.28622,0.12445,0.17347,4

ROUGE-SU4+StopWordRemoval,FNS31015,31015.TXT,0.36700,0.14890,0.21185,4

ROUGE-L+StopWordRemoval,FNS30962,30962.TXT,0.25965,0.20085,0.22650,3

ROUGE-1+StopWordRemoval,FNS30962,30962.TXT,0.31564,0.22074,0.25979,3

ROUGE-2+StopWordRemoval,FNS30962,30962.TXT,0.14655,0.09745,0.11706,3

ROUGE-SU4+StopWordRemoval,FNS30962,30962.TXT,0.23280,0.12875,0.16580,3

ROUGE-L+StopWordRemoval,FNS32107,32107.TXT,0.20786,0.21902,0.21330,3

ROUGE-1+StopWordRemoval,FNS32107,32107.TXT,0.24303,0.31060,0.27269,3

ROUGE-2+StopWordRemoval,FNS32107,32107.TXT,0.12433,0.13582,0.12982,3

ROUGE-SU4+StopWordRemoval,FNS32107,32107.TXT,0.18572,0.18664,0.18618,3

ROUGE-L+StopWordRemoval,FNS32349,32349.TXT,0.30833,0.12646,0.17936,4

ROUGE-1+StopWordRemoval,FNS32349,32349.TXT,0.40201,0.13329,0.20020,4

ROUGE-2+StopWordRemoval,FNS32349,32349.TXT,0.18603,0.04280,0.06959,4

ROUGE-SU4+StopWordRemoval,FNS32349,32349.TXT,0.28843,0.06717,0.10896,4

ROUGE-L+StopWordRemoval,FNS31811,31811.TXT,0.21653,0.13363,0.16527,4

ROUGE-1+StopWordRemoval,FNS31811,31811.TXT,0.28181,0.16052,0.20454,4

ROUGE-2+StopWordRemoval,FNS31811,31811.TXT,0.11322,0.05294,0.07215,4

ROUGE-SU4+StopWordRemoval,FNS31811,31811.TXT,0.18768,0.08168,0.11383,4

ROUGE-L+StopWordRemoval,FNS32229,32229.TXT,0.29084,0.15666,0.20363,4

ROUGE-1+StopWordRemoval,FNS32229,32229.TXT,0.31185,0.22238,0.25963,4

ROUGE-2+StopWordRemoval,FNS32229,32229.TXT,0.13377,0.08059,0.10058,4

ROUGE-SU4+StopWordRemoval,FNS32229,32229.TXT,0.17870,0.10181,0.12972,4

ROUGE-L+StopWordRemoval,FNS30841,30841.TXT,0.31888,0.21176,0.25451,4

ROUGE-1+StopWordRemoval,FNS30841,30841.TXT,0.30778,0.28542,0.29618,4

ROUGE-2+StopWordRemoval,FNS30841,30841.TXT,0.12486,0.09222,0.10609,4

ROUGE-SU4+StopWordRemoval,FNS30841,30841.TXT,0.20225,0.14933,0.17181,4

ROUGE-L+StopWordRemoval,FNS31492,31492.TXT,0.31451,0.20091,0.24520,4

ROUGE-1+StopWordRemoval,FNS31492,31492.TXT,0.33799,0.25064,0.28783,4

ROUGE-2+StopWordRemoval,FNS31492,31492.TXT,0.14255,0.08599,0.10728,4

ROUGE-SU4+StopWordRemoval,FNS31492,31492.TXT,0.21678,0.12047,0.15487,4

ROUGE-L+StopWordRemoval,FNS32340,32340.TXT,0.24814,0.24963,0.24888,3

ROUGE-1+StopWordRemoval,FNS32340,32340.TXT,0.24085,0.33605,0.28059,3

ROUGE-2+StopWordRemoval,FNS32340,32340.TXT,0.07062,0.08061,0.07528,3

ROUGE-SU4+StopWordRemoval,FNS32340,32340.TXT,0.13801,0.14104,0.13951,3

ROUGE-L+StopWordRemoval,FNS32220,32220.TXT,0.49552,0.23810,0.32164,3

ROUGE-1+StopWordRemoval,FNS32220,32220.TXT,0.53057,0.26942,0.35737,3

ROUGE-2+StopWordRemoval,FNS32220,32220.TXT,0.27571,0.07951,0.12343,3

ROUGE-SU4+StopWordRemoval,FNS32220,32220.TXT,0.39591,0.14168,0.20868,3

ROUGE-L+StopWordRemoval,FNS32583,32583.TXT,0.27009,0.19552,0.22683,3

ROUGE-1+StopWordRemoval,FNS32583,32583.TXT,0.35216,0.25284,0.29435,3

ROUGE-2+StopWordRemoval,FNS32583,32583.TXT,0.17768,0.13501,0.15343,3

ROUGE-SU4+StopWordRemoval,FNS32583,32583.TXT,0.23466,0.16280,0.19223,3

ROUGE-L+StopWordRemoval,FNS30849,30849.TXT,0.33936,0.19938,0.25119,4

ROUGE-1+StopWordRemoval,FNS30849,30849.TXT,0.24960,0.23292,0.24097,4

ROUGE-2+StopWordRemoval,FNS30849,30849.TXT,0.09436,0.07225,0.08183,4

ROUGE-SU4+StopWordRemoval,FNS30849,30849.TXT,0.15175,0.12059,0.13438,4

ROUGE-L+StopWordRemoval,FNS30965,30965.TXT,0.20818,0.18553,0.19620,5

ROUGE-1+StopWordRemoval,FNS30965,30965.TXT,0.21378,0.24385,0.22783,5

ROUGE-2+StopWordRemoval,FNS30965,30965.TXT,0.07807,0.06182,0.06900,5

ROUGE-SU4+StopWordRemoval,FNS30965,30965.TXT,0.13454,0.09612,0.11213,5

ROUGE-L+StopWordRemoval,FNS30966,30966.TXT,0.26955,0.25858,0.26395,3

ROUGE-1+StopWordRemoval,FNS30966,30966.TXT,0.34372,0.30472,0.32305,3

ROUGE-2+StopWordRemoval,FNS30966,30966.TXT,0.15840,0.14843,0.15325,3

